dbname	url	slice
elwikiversity	https://el.wikiversity.org	s3.labsdb
yiwiktionary	https://yi.wiktionary.org	s3.labsdb
suwikibooks	https://su.wikibooks.org	s3.labsdb
hrwikibooks	https://hr.wikibooks.org	s3.labsdb
euwikiquote	https://eu.wikiquote.org	s3.labsdb
zh_yuewiki	https://zh-yue.wikipedia.org	s3.labsdb
igwiki	https://ig.wikipedia.org	s3.labsdb
angwikiquote	https://ang.wikiquote.org	s3.labsdb
tpiwiki	https://tpi.wikipedia.org	s3.labsdb
kkwiktionary	https://kk.wiktionary.org	s3.labsdb
klwiktionary	https://kl.wiktionary.org	s3.labsdb
kywiki	https://ky.wikipedia.org	s3.labsdb
iuwiki	https://iu.wikipedia.org	s3.labsdb
tetwiki	https://tet.wikipedia.org	s3.labsdb
fowiki	https://fo.wikipedia.org	s3.labsdb
betawikiversity	https://beta.wikiversity.org	s3.labsdb
knwikisource	https://kn.wikisource.org	s3.labsdb
enwikibooks	https://en.wikibooks.org	s3.labsdb
vecwikisource	https://vec.wikisource.org	s3.labsdb
newikibooks	https://ne.wikibooks.org	s3.labsdb
idwiki	https://id.wikipedia.org	s2.labsdb
euwiki	https://eu.wikipedia.org	s3.labsdb
dawikiquote	https://da.wikiquote.org	s3.labsdb
bgwiktionary	https://bg.wiktionary.org	s2.labsdb
alswikibooks	https://als.wikibooks.org	s3.labsdb
lnwiki	https://ln.wikipedia.org	s3.labsdb
afwiktionary	https://af.wiktionary.org	s3.labsdb
svwikivoyage	https://sv.wikivoyage.org	s3.labsdb
yowiki	https://yo.wikipedia.org	s3.labsdb
hewiktionary	https://he.wiktionary.org	s3.labsdb
angwikibooks	https://ang.wikibooks.org	s3.labsdb
kswiktionary	https://ks.wiktionary.org	s3.labsdb
zh_min_nanwikibooks	https://zh-min-nan.wikibooks.org	s3.labsdb
kswiki	https://ks.wikipedia.org	s3.labsdb
srwikisource	https://sr.wikisource.org	s3.labsdb
mkwikimedia	https://mk.wikimedia.org	s3.labsdb
pnbwiktionary	https://pnb.wiktionary.org	s3.labsdb
ukwiki	https://uk.wikipedia.org	s7.labsdb
yiwikisource	https://yi.wikisource.org	s3.labsdb
lnwiktionary	https://ln.wiktionary.org	s3.labsdb
ttwiki	https://tt.wikipedia.org	s3.labsdb
testwikidatawiki	https://test.wikidata.org	s3.labsdb
nlwikimedia	https://nl.wikimedia.org	s3.labsdb
